Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path
nixtla-anomaly-detector,"Data analysts, operations teams","Detects anomalies in time series using TimeGPT; identifies outliers, level shifts, trend breaks","Detecting unusual patterns, identifying anomalies; triggers: detect anomalies, find outliers","Exploratory phase - after data collection, before forecasting","Generates anomalies.csv, anomalies_plot.png, anomaly_summary.txt with correctly classified anomaly types","Enables early detection of data quality issues; reduces manual inspection effort",true,core-forecasting,003-skills/.claude/skills/nixtla-anomaly-detector/
nixtla-arbitrage-detector,"Prediction market traders","Identifies arbitrage opportunities between Polymarket and Kalshi by comparing prices across platforms","Finding price discrepancies, profitable trading opportunities; triggers: find arbitrage, compare prices","Market analysis phase - real-time opportunity detection","Outputs arbitrage_opportunities.csv with calculated profit percentages and arbitrage_report.md","Identifies profitable trades; supports quantitative trading strategies","Detect arbitrage > 1% spread between platforms",true,prediction-markets,003-skills/.claude/skills/nixtla-arbitrage-detector/
nixtla-batch-forecaster,"Forecast operations managers","Processes 10-100+ time series in parallel using TimeGPT with rate limiting and fallback","Batch processing large contract portfolios; triggers: batch forecast, parallel forecasting","Operational phase - high-volume forecast production","all_forecasts.csv with 100% success rate, summary.json with metadata, batch_report.md","Enables enterprise-scale forecasting; handles high-volume workloads","Process 100 series in single batch; 100% completion rate",true,core-forecasting,003-skills/.claude/skills/nixtla-batch-forecaster/
nixtla-contract-schema-mapper,"Data engineers","Transforms prediction market data to Nixtla format (unique_id, ds, y) with column mapping","Preparing datasets for forecasting; triggers: convert to Nixtla format, schema mapping","Data preparation phase - upstream of all forecasting","nixtla_data.csv with correct schema, time_series_plot.png, transformation summary","Standardizes data ingestion; eliminates manual data wrangling","Output valid Nixtla schema from any CSV input",true,utilities,003-skills/.claude/skills/nixtla-contract-schema-mapper/
nixtla-correlation-mapper,"Portfolio managers","Analyzes multi-contract correlations and generates hedging strategies for risk management","Managing correlated assets; triggers: analyze correlations, suggest hedge","Risk management phase - post-forecasting","correlation_matrix.csv, hedge_recommendations.csv, correlation_heatmap.png, hedge_effectiveness.png","Supports portfolio risk management; enables data-driven hedging decisions","Generate correlation matrix and hedge recommendations",true,prediction-markets,003-skills/.claude/skills/nixtla-correlation-mapper/
nixtla-cross-validator,"ML engineers, model validators","Evaluates time series models using expanding/sliding window cross-validation","Model selection, performance evaluation; triggers: cross validate, evaluate model, backtesting","Validation phase - model comparison and selection","cv_results.csv with fold-wise metrics, metrics.json with MAE/RMSE, plots showing actual vs predicted","Ensures model reliability; prevents overfitting; validates generalization","Complete CV with 5+ folds; output per-fold metrics",true,core-forecasting,003-skills/.claude/skills/nixtla-cross-validator/
nixtla-event-impact-modeler,"Policy analysts, economists","Quantifies causal impact of events on contract prices using TimeGPT + CausalImpact","Event analysis, promotion effectiveness; triggers: event impact analysis, causal analysis","Analysis phase - post-event evaluation","impact_results.csv, adjusted_forecast.csv, impact_plot.png, impact_report.md with statistical significance","Quantifies intervention effects; supports evidence-based decisions","Output causal impact estimate with confidence intervals",true,prediction-markets,003-skills/.claude/skills/nixtla-event-impact-modeler/
nixtla-exogenous-integrator,"Forecasters with domain knowledge","Incorporates external variables (holidays, weather, events) into TimeGPT forecasts","Improving accuracy with external data; triggers: include holidays, add weather data","Enhancement phase - augmenting base forecasts","forecast_exogenous.csv with integrated variables, forecast_plot.png showing exogenous impact","Enables forecasts that incorporate domain knowledge","Generate forecast with 1+ exogenous variables integrated",true,core-forecasting,003-skills/.claude/skills/nixtla-exogenous-integrator/
nixtla-experiment-architect,"Researchers, ML engineers","Generates production-ready forecasting experiments with config management and multi-model comparison","Setting up benchmarks; triggers: scaffold experiment, compare models","Experimentation phase - model selection framework","config.yml, experiments.py (runnable), results/metrics_summary.csv with SMAPE/MASE","Accelerates experiment setup; ensures reproducibility","Generate runnable experiment config comparing 3+ models",true,core-forecasting,003-skills/.claude/skills/nixtla-experiment-architect/
nixtla-forecast-validator,"DevOps, ML Ops teams","Validates forecast quality by detecting MASE/sMAPE degradation against benchmarks","Detecting model degradation; triggers: validate forecast, check quality","Monitoring phase - continuous quality assurance","validation_report.txt, metrics_comparison.csv, alert.log, metrics_visualization.png","Catches model drift early; maintains forecast reliability in production","Detect metric degradation > threshold; generate alert",true,utilities,003-skills/.claude/skills/nixtla-forecast-validator/
nixtla-liquidity-forecaster,"Traders, market makers","Predicts orderbook depth and bid-ask spreads for optimal trade execution timing","Estimating liquidity; triggers: forecast liquidity, predict orderbook","Trading optimization phase - pre-execution","depth_forecast.csv, depth_forecast.png, report.txt with liquidity trends","Supports trade execution timing decisions","Generate liquidity forecast for next 24 hours",true,prediction-markets,003-skills/.claude/skills/nixtla-liquidity-forecaster/
nixtla-market-risk-analyzer,"Risk managers, portfolio strategists","Calculates VaR, volatility, drawdown, and optimal position sizing from price data","Risk assessment; triggers: analyze market risk, calculate VaR","Risk management phase - portfolio optimization","risk_metrics.json, position_sizing.json, risk_report.md, drawdown.png, volatility.png, var.png","Quantifies portfolio risk; enables position sizing discipline","Calculate VaR, max drawdown, and position sizing",true,prediction-markets,003-skills/.claude/skills/nixtla-market-risk-analyzer/
nixtla-model-selector,"Data scientists","Automatically selects optimal model (StatsForecast vs TimeGPT) based on data characteristics","Model selection automation; triggers: auto-select model, choose best model","Model selection phase - intelligent routing","forecast.csv, model_selection.txt with selection rationale, time_series_plot.png","Routes to best model automatically; reduces manual trial-and-error","Select optimal model with documented rationale",true,core-forecasting,003-skills/.claude/skills/nixtla-model-selector/
nixtla-polymarket-analyst,"Traders, analysts","Analyzes and forecasts Polymarket contracts with TimeGPT and confidence intervals","Predicting contract prices; triggers: Polymarket analysis, forecast prediction market","Market analysis phase - contract evaluation","forecast_results_forecast.csv, forecast_results_plot.png, forecast_results_metadata.json with trend/signal","Provides quantitative analysis for prediction markets","Forecast contract price with confidence intervals",true,prediction-markets,003-skills/.claude/skills/nixtla-polymarket-analyst/
nixtla-prod-pipeline-generator,"DevOps, data engineers","Transforms forecasting experiments into Airflow/Prefect/Cron production pipelines","Production deployment; triggers: generate pipeline, create Airflow DAG","Production deployment phase","pipelines/forecast_dag.py, pipelines/monitoring.py, pipelines/README.md, pipelines/requirements.txt","Accelerates production deployment; ensures operational consistency","Generate deployable Airflow/Prefect DAG from experiment",true,infrastructure,003-skills/.claude/skills/nixtla-prod-pipeline-generator/
nixtla-schema-mapper,"Data engineers","Transforms data sources to Nixtla schema with column inference and validation","Data transformation; triggers: map to Nixtla schema, transform data","Data preparation phase - universal entry point","to_nixtla_schema.py, NIXTLA_SCHEMA_CONTRACT.md, nixtla_data.csv with validated schema","Standardizes all data sources; eliminates schema-related errors","Transform any tabular data to valid Nixtla schema",true,utilities,003-skills/.claude/skills/nixtla-schema-mapper/
nixtla-skills-bootstrap,"Project managers, CLI users","Installs or updates Nixtla Skills via CLI tool to .claude/skills/","Skills installation; triggers: install nixtla skills, update nixtla","Infrastructure setup phase - project initialization",".claude/skills/ directories with all skills installed, version consistency","Enables one-command skill deployment across projects","Install all skills to .claude/skills/ in < 30 seconds",true,infrastructure,003-skills/.claude/skills/nixtla-skills-bootstrap/
nixtla-skills-index,"Users, skill discoverers","Lists installed Nixtla Skills and provides usage guidance and categorization","Skill discovery; triggers: list nixtla skills, what skills available","Information retrieval phase - skill navigation","Formatted markdown table with skill categories and recommendations","Improves skill discoverability","List all skills with categories and trigger phrases",true,utilities,003-skills/.claude/skills/nixtla-skills-index/
nixtla-timegpt-finetune-lab,"ML researchers, domain experts","Configures TimeGPT fine-tuning on custom datasets with job monitoring and model comparison","Training domain-specific models; triggers: fine-tune TimeGPT, train custom model","Model training phase - custom specialization","finetune_config.yml, finetune_model_id.txt, comparison_metrics.csv with improvement %","Enables domain-specific model customization","Configure and launch fine-tuning job; track to completion",true,core-forecasting,003-skills/.claude/skills/nixtla-timegpt-finetune-lab/
nixtla-timegpt-lab,"Forecasters, time series experts","Core mode skill enabling TimeGPT/StatsForecast/MLForecast forecasting and model comparison","Core forecasting workflows; triggers: forecast time series, run Nixtla forecast","Core mode - activates Nixtla-first behavior","forecasts.csv, metrics.csv with SMAPE/MASE/MAE, comparison_plot.png with all models","Primary entry point for all Nixtla forecasting work","Generate forecast with SMAPE/MASE metrics",true,core-forecasting,003-skills/.claude/skills/nixtla-timegpt-lab/
nixtla-timegpt2-migrator,"Legacy system maintainers","Facilitates migration from TimeGPT-1 to TimeGPT-2 with compatibility checking and code updates","Upgrading TimeGPT version; triggers: migrate to TimeGPT-2, upgrade TimeGPT","Platform upgrade phase - backward compatibility","analysis_report.txt, migration_report.txt, timegpt2_config.yaml, updated code in updated_codebase/","Ensures smooth version transitions; prevents breaking changes","Analyze codebase and output migration report",true,utilities,003-skills/.claude/skills/nixtla-timegpt2-migrator/
nixtla-uncertainty-quantifier,"Risk analysts, decision makers","Generates prediction intervals using conformal prediction for forecast uncertainty analysis","Risk assessment; triggers: quantify uncertainty, prediction intervals","Analysis phase - uncertainty quantification","forecast_with_uncertainty.csv, uncertainty_plot.png, calibration_metrics.json with coverage stats","Enables risk-aware decision making; quantifies forecast confidence","Generate prediction intervals with calibration metrics",true,core-forecasting,003-skills/.claude/skills/nixtla-uncertainty-quantifier/
nixtla-usage-optimizer,"Cost managers, CTOs","Audits Nixtla usage and recommends cost-effective routing strategies between TimeGPT and baselines","Cost optimization; triggers: optimize nixtla costs, audit API usage","Optimization phase - post-production analysis","000-docs/nixtla_usage_report.md, routing_rules.json with cost/benefit analysis","Supports API cost optimization through intelligent routing","Audit usage and output routing recommendations",true,utilities,003-skills/.claude/skills/nixtla-usage-optimizer/
